cell_type	target	binding	perb_score
Late_Female_Lamp5	ADORA2A	antagonist	2.84442438979035e-10
Late_Male_Astrocyte	ADORA2A	antagonist	5.30386091660165e-12
Late_Female_L6b	ADORA2A	antagonist	1.24339569039045e-10
Late_Female_OPC	ADORA2A	antagonist	2.23149321905805e-10
Late_Female_Sncg	ADORA2A	antagonist	1.71736580504727e-10
Late_Male_Chandelier	ADORA2A	antagonist	2.15261529209714e-11
Late_Female_Pax6	ADORA2A	antagonist	1.36111026664176e-10
Late_Female_VLMC___Perivascular	ADORA2A	antagonist	9.14437727163216e-10
Late_Male_L5_IT	ADORA2A	antagonist	1.47904181481771e-10
Late_Male_L6_IT_Car3	ADORA2A	antagonist	1.99951759862454e-10
Late_Male_Lamp5_Lhx6	ADORA2A	antagonist	1.587509802164e-10
Late_Female_Pvalb	ADORA2A	antagonist	2.10297484951525e-10
Late_Male_L5_ET	ADORA2A	antagonist	4.72071146345946e-10
Late_Male_Endothelial	ADORA2A	antagonist	1.23351446916322e-10
Late_Male_L2_3_IT	ADORA2A	antagonist	1.57587880187373e-10
