cell_type	target	binding	perb_score
Early_Braak_L6_CT	BIN1	agonist	1.18384098839701e-09
Early_Braak_Microglia-PVM	BIN1	agonist	1.50511477268287e-09
Early_Braak_Chandelier	BIN1	agonist	1.54144840201073e-10
Early_Braak_L2_3_IT	BIN1	agonist	3.15461312522261e-12
Early_Braak_L6_IT_Car3	BIN1	agonist	1.27251863774518e-09
Early_Braak_L6_IT	BIN1	agonist	4.85000695844466e-10
Early_Braak_Pax6	BIN1	agonist	8.92383103115727e-10
Early_Braak_Oligodendrocyte	BIN1	agonist	1.6534758639943e-09
Early_Braak_Vip	BIN1	agonist	1.92377675613613e-10
Late_Braak_Chandelier	BIN1	agonist	1.33634141879983e-09
Late_Braak_Astrocyte	BIN1	agonist	4.00953100391337e-10
Early_Braak_Lamp5	BIN1	agonist	1.49598134388189e-09
Early_Braak_Sst	BIN1	agonist	6.75301843806515e-10
Early_Braak_L6b	BIN1	agonist	8.1886326518808e-10
Early_Braak_L5_IT	BIN1	agonist	7.36465784341481e-10
Early_Braak_Astrocyte	BIN1	agonist	1.87345963226461e-11
Early_Braak_L5_6_NP	BIN1	agonist	1.02957182774939e-09
Early_Braak_Pvalb	BIN1	agonist	2.71747913303321e-10
Early_Braak_OPC	BIN1	agonist	3.94938059020572e-10
Early_Braak_Lamp5_Lhx6	BIN1	agonist	8.0976552640553e-10
Early_Braak_VLMC	BIN1	agonist	7.98624025969431e-10
Late_Braak_Endothelial	BIN1	agonist	2.70970892550146e-10
Late_Braak_L4_IT	BIN1	agonist	9.38597088083658e-10
Late_Braak_L5_ET	BIN1	agonist	3.14195721587388e-11
Late_Braak_Lamp5_Lhx6	BIN1	agonist	7.02656823707005e-10
Late_Braak_Lamp5	BIN1	agonist	2.59278161488278e-10
Late_Braak_L6_IT_Car3	BIN1	agonist	7.0863456671714e-10
Late_Braak_L2_3_IT	BIN1	agonist	9.20173464249204e-11
Late_Braak_L6_CT	BIN1	agonist	6.55716841862118e-10
Late_Braak_L6_IT	BIN1	agonist	5.79269304800516e-10
Late_Braak_L5_IT	BIN1	agonist	7.3050107035857e-10
Late_Braak_L5_6_NP	BIN1	agonist	1.08781012362291e-09
Late_Braak_Microglia-PVM	BIN1	agonist	7.50867615801278e-10
Late_Braak_L6b	BIN1	agonist	1.17607727942354e-10
